config_id	p_bio_temp	p_bio_bias	proxy_drop_weight	avg_mse	avg_bz_mse	score
1	1.2	0.5	0.0	0.5361116006970406	0.3430597260594368	0.6111155264079571
2	1.2	0.5	0.3	0.5076674744486809	0.363655686378479	0.6174894236028194
3	1.2	0.5	0.5	0.4909801036119461	0.38281915336847305	0.6283092051744461
4	1.2	0.5	0.7	0.47762972116470337	0.4109076261520386	0.6497224867343903
5	1.5	0.5	0.0	0.4744701161980629	0.4155082181096077	0.6527432762086391
6	1.5	0.5	0.3	0.4653659090399742	0.4327865168452263	0.6654694713652134
7	1.5	0.5	0.5	0.46021317690610886	0.447660431265831	0.6777670197188854
8	1.5	0.5	0.7	0.45712924748659134	0.4632284566760063	0.691793080419302
9	1.8	0.5	0.0	0.4524651914834976	0.47560279071331024	0.701835386455059
10	1.8	0.5	0.3	0.4493708312511444	0.4875553324818611	0.7122407481074333
11	1.8	0.5	0.5	0.4479803889989853	0.49583787471055984	0.7198280692100525
12	1.8	0.5	0.7	0.4472661763429642	0.5045321807265282	0.7281652688980103
13	2.0	0.5	0.0	0.4457613229751587	0.5081653818488121	0.7310460433363914
14	2.0	0.5	0.3	0.4443689361214638	0.5165147632360458	0.7386992312967777
15	2.0	0.5	0.5	0.44377103447914124	0.5229405835270882	0.7448261007666588
16	2.0	0.5	0.7	0.44355570524930954	0.528672605752945	0.7504504583775997
